Date Created,Tweets,Einschr_type,haltestellen,linien,von,bis
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,olten,IC8,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 20:57:04+00:00,"einschränkung bern - olten: 18.04.2023 22:22 - 19.04.2023 01:00

der bahnverkehr zwischen bern und olten ist eingeschränkt.
grund dafür ist ein zug, der die strecke blockiert.
betroffen sind die linien ic1, ic6, ic8, ic61, ir15.
es ist mit verspätungen… ",Einschränkung,olten,IR15,2023-04-18 22:22:00,2023-04-19 01:00:00
2023-04-18 16:40:02+00:00,"unterbruch zürich hb szu: 18.04.2023 18:30 - 21:30

der bahnverkehr im bahnhof zürich hb szu ist unterbrochen.
grund dafür ist eine technische störung an der bahnanlage.
die dauer der einschränkung ist unbestimmt.
betroffen sind die linien s4, s10.
es… ",Unterbruch,zürich hb,EC,2023-04-18 18:30:00,2023-04-18 21:30:00
2023-04-18 15:53:02+00:00,"aufgehoben: unterbruch niederscherli - schwarzenburg: 18.04.2023 17:08 - 17:45

der unterbruch des bahnverkehrs auf der strecke bern - schwarzenburg zwischen niederscherli und schwarzenburg ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,bern,EC,2023-04-18 17:08:00,2023-04-18 17:45:00
2023-04-18 05:18:03+00:00,"aufgehoben: unterbruch gossau sg - hauptwil: 18.04.2023 07:02 - 07:29

der unterbruch des bahnverkehrs auf der strecke st. gallen - weinfelden zwischen gossau sg und hauptwil ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,st. gallen,EC,2023-04-18 07:02:00,2023-04-18 07:29:00
2023-04-17 17:22:33+00:00,"unterbruch brunnadern-neckertal - wattwil: 17.04.2023 19:05 - 21:30

der bahnverkehr auf der strecke st. gallen - wattwil ist zwischen brunnadern-neckertal und wattwil unterbrochen.
die einschränkung dauert bis ca. 21:00.
es ist mit verspätungen und… ",Unterbruch,st. gallen,EC,2023-04-17 19:05:00,2023-04-17 21:30:00
2023-04-15 17:32:32+00:00,"aufgehoben: einschränkung olten - tecknau: 15.04.2023 18:59 - 19:31

die einschränkung des bahnverkehrs auf der strecke olten - basel sbb zwischen olten und tecknau ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,olten,EC,2023-04-15 18:59:00,2023-04-15 19:31:00
2023-04-15 17:32:32+00:00,"aufgehoben: einschränkung olten - tecknau: 15.04.2023 18:59 - 19:31

die einschränkung des bahnverkehrs auf der strecke olten - basel sbb zwischen olten und tecknau ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,basel sbb,EC,2023-04-15 18:59:00,2023-04-15 19:31:00
2023-04-14 04:05:32+00:00,"aufgehoben: einschränkung olten - bern: 14.04.2023 05:32 - 06:03

die einschränkung des bahnverkehrs zwischen olten und bern ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,olten,EC,2023-04-14 05:32:00,2023-04-14 06:03:00
2023-04-14 04:05:32+00:00,"aufgehoben: einschränkung olten - bern: 14.04.2023 05:32 - 06:03

die einschränkung des bahnverkehrs zwischen olten und bern ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,bern,EC,2023-04-14 05:32:00,2023-04-14 06:03:00
2023-04-12 12:10:32+00:00,"aufgehoben: einschränkung aarau - lenzburg: 12.04.2023 11:40 - 14:40

die einschränkung des bahnverkehrs auf der strecke olten - zürich hb zwischen aarau und lenzburg ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,olten,EC,2023-04-12 11:40:00,2023-04-12 14:40:00
2023-04-12 12:10:32+00:00,"aufgehoben: einschränkung aarau - lenzburg: 12.04.2023 11:40 - 14:40

die einschränkung des bahnverkehrs auf der strecke olten - zürich hb zwischen aarau und lenzburg ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,zürich hb,EC,2023-04-12 11:40:00,2023-04-12 14:40:00
